name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Wrocław,2023-02-01,5.3,2,3.9,0.2,-4,-1.3,1.2,83.2,2.075,100,8.33,rain,0,0.5,67.3,39.1,280.4,1009.6,82.5,22.9,14.1,1.1,1,10,2023-02-01T07:29:31,2023-02-01T16:42:04,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-02,5,-2,3.1,0,-6.9,-1.9,0,80.6,3.85,100,8.33,"rain,snow",0.2,0.1,67.3,39.1,299.3,1013.7,78.6,25.1,19.4,1.7,1,10,2023-02-02T07:28:00,2023-02-02T16:43:51,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12424099999,EPWR,F4529,remote,12415099999"
Wrocław,2023-02-03,6.8,-2.7,2.2,2.3,-6.5,-2,0.7,90.3,8.059,100,8.33,"rain,snow",0.4,0.4,57.6,37.1,268.3,1014.4,89.2,20.3,6.3,0.6,0,10,2023-02-03T07:26:27,2023-02-03T16:45:39,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-04,4.9,-4,0.7,-0.4,-9.7,-4.2,-3.3,74.7,1.072,100,12.5,"rain,snow",0.6,0.8,68.9,38.8,339.8,1028.3,69.9,25.9,16.3,1.3,1,10,2023-02-04T07:24:52,2023-02-04T16:47:27,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-05,-0.7,-5.4,-2.8,-1,-9.5,-5.3,-6.2,78,0,0,0,,0,2.1,35.3,13.6,331.6,1038.6,67.9,27.2,17,1.5,1,10,2023-02-05T07:23:15,2023-02-05T16:49:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-06,-0.2,-7,-3.4,-3.2,-8,-4.8,-6.5,80.1,0,0,0,,0,2.6,38.9,14.4,100.5,1040.3,67.6,17.9,20,1.7,1,10,2023-02-06T07:21:36,2023-02-06T16:51:03,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-07,0.2,-9.2,-3.9,0.2,-9.2,-4.5,-7.2,79,0,0,0,,0,2.6,28,9.9,11.8,1042.5,52.3,11,14.8,1.2,1,10,2023-02-07T07:19:56,2023-02-07T16:52:51,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-08,0.2,-5.3,-2.1,-3.2,-10.6,-6.1,-5.3,79.3,0,0,0,,0,2.5,24.9,20,138.4,1043.5,57,14.1,18.5,1.5,1,10,2023-02-08T07:18:14,2023-02-08T16:54:40,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-09,5,-5.9,-0.6,1.3,-11.6,-4.9,-6.6,66,0,0,0,,0,0.1,43.2,21.5,181.1,1035.8,16.7,19,26.4,2.3,2,10,2023-02-09T07:16:30,2023-02-09T16:56:28,0.63,Clear,Clear conditions throughout the day.,clear-day,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-10,4,-3.6,0.7,-0.2,-7.7,-3.6,-3.8,71.6,0,0,0,,0,0,42.5,23.8,258.6,1034.5,79.6,20.7,22.3,1.8,1,10,2023-02-10T07:14:45,2023-02-10T16:58:17,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
